Solution,Cedar Div Min Elev,Dogwood Div Min Elev,Hickory Elev Min to Irrig,Cedar Elev Limits Row 0,Cedar Elev Limits Row 1,Energy (Negated),Spill,West Basin Irrig (Negated),East Basin Irrig (Negated),Total Depletion Shortage,Transbasin Diversion
1,238.0,171.0,134.0,200.5,208.5,-12599976.2,2701.68,-5713.14,-1736.25,2320.96,1838.1
2,227.0,172.0,133.0,218.0,223.5,-12553526.33,2495.27,-5603.82,-2488.56,1413.78,3017.55
3,241.0,171.0,136.0,209.5,223.0,-12658032.1,2882.24,-6024.25,-950.04,3149.42,570.77
4,232.5,172.0,135.5,203.0,210.0,-12582221.57,2495.27,-5603.82,-2289.21,1740.67,2637.9
5,232.5,171.0,135.5,203.0,210.0,-12555124.72,2495.27,-5713.14,-2289.21,1631.35,2637.9
6,227.5,171.5,136.0,205.0,213.0,-12542584.28,2495.27,-5658.91,-2468.57,1397.63,2964.1
7,242.0,171.5,137.0,206.5,209.5,-12682682.75,2982.57,-5964.26,-778.08,3451.74,302.4
8,242.0,171.0,135.5,209.5,224.0,-12670490.67,2982.57,-6024.25,-778.08,3391.75,302.4
9,241.5,171.0,136.0,210.0,224.0,-12662210.75,2901.06,-6024.25,-894.0499999999998,3224.9,486.99
10,233.0,171.0,135.5,203.0,210.0,-12557154.52,2495.27,-5713.14,-2271.57,1657.33,2609.1
11,240.0,171.0,135.5,208.5,220.5,-12638719.13,2813.38,-6024.25,-1143.37,2877.91,871.98
12,238.5,171.0,133.5,201.0,224.0,-12612752.38,2735.7,-5729.87,-1595.0,2501.42,1619.87
13,240.5,171.0,135.5,208.5,221.5,-12650321.08,2846.86,-6024.25,-1025.82,3040.96,690.92
14,241.5,171.5,136.0,210.0,224.0,-12674402.75,2901.06,-5964.26,-894.0499999999998,3284.89,486.99
15,232.0,171.0,135.5,204.0,209.5,-12553911.85,2495.27,-5713.14,-2296.51,1618.33,2652.3
16,239.0,171.0,136.0,206.5,220.5,-12616673.25,2763.62,-5877.38,-1433.96,2584.68,1361.67
17,234.5,172.0,136.0,200.5,201.5,-12595439.24,2580.08,-5603.82,-2110.64,1946.73,2379.96
18,227.0,171.0,138.0,209.5,210.0,-12523118.04,2495.27,-5713.14,-2501.58,1291.62,3017.55
19,230.0,171.0,137.5,212.0,214.5,-12544100.71,2495.27,-5713.14,-2349.92,1518.32,2759.55
20,224.5,171.5,137.0,205.0,207.5,-12528979.77,2495.27,-5658.91,-2543.16,1279.13,3096.0
21,238.0,171.5,136.0,208.0,215.5,-12612826.26,2701.68,-5658.91,-1736.25,2375.18,1838.1
22,234.0,172.0,136.5,200.0,213.0,-12590075.86,2544.99,-5603.82,-2194.42,1848.93,2492.12
23,234.0,171.5,136.0,201.0,208.5,-12576721.9,2544.99,-5658.91,-2198.9,1795.02,2492.12
24,237.0,172.0,135.0,203.0,209.0,-12611196.44,2645.51,-5603.82,-1907.26,2200.61,2094.12
25,232.0,171.5,136.0,207.0,213.5,-12566896.75,2495.27,-5658.91,-2297.61,1671.11,2652.3
26,226.5,171.0,134.0,200.0,213.0,-12518270.25,2495.27,-5713.14,-2512.66,1267.73,3056.78
27,231.0,171.5,136.0,210.0,224.0,-12564690.77,2495.27,-5658.91,-2312.71,1644.98,2681.1
28,238.0,172.0,136.0,200.5,202.0,-12626472.71,2701.68,-5603.82,-1736.25,2430.28,1838.1
29,228.0,171.5,137.0,203.5,205.5,-12545723.75,2495.27,-5658.91,-2449.42,1429.64,2924.71
30,235.5,172.0,137.0,203.5,209.5,-12600678.19,2606.27,-5603.82,-2035.94,2035.89,2276.88
31,236.5,172.0,134.5,201.5,212.5,-12607371.65,2623.02,-5603.82,-1968.67,2130.17,2175.3
32,236.0,172.0,134.5,202.0,212.5,-12604151.21,2614.64,-5603.82,-2000.53,2086.6,2224.79
33,227.5,171.0,138.0,209.0,210.0,-12527675.37,2495.27,-5713.14,-2467.17,1338.63,2964.1
34,231.0,171.0,136.0,201.0,202.0,-12551444.71,2495.27,-5713.14,-2312.71,1590.76,2681.1
35,231.0,171.0,137.5,212.0,214.5,-12550029.41,2495.27,-5713.14,-2304.06,1586.78,2681.1
36,240.5,171.5,135.5,211.5,218.0,-12662513.07,2846.86,-5964.26,-1025.82,3100.95,690.92
37,242.0,172.0,136.0,205.0,214.0,-12695034.04,2982.57,-5909.17,-778.08,3506.83,302.4
38,234.5,171.0,136.0,200.5,201.5,-12568541.79,2580.08,-5713.14,-2110.64,1837.41,2379.96
39,231.0,172.0,136.0,200.5,202.5,-12578638.14,2495.27,-5603.82,-2312.71,1700.08,2681.1
40,235.0,171.0,139.5,207.0,207.5,-12571679.39,2593.78,-5713.14,-2074.01,1878.35,2329.77
41,230.0,171.5,135.0,202.0,208.5,-12558677.6,2495.27,-5658.91,-2352.8,1579.28,2759.55
42,236.5,171.0,137.5,201.0,202.5,-12580664.75,2623.02,-5713.14,-1971.35,2018.3,2175.3
43,234.5,171.5,137.0,213.5,221.0,-12581593.86,2580.08,-5658.91,-2114.36,1888.1,2379.96
44,229.5,171.0,138.0,213.5,216.5,-12540072.71,2495.27,-5713.14,-2374.43,1475.93,2807.04
45,239.5,171.5,135.5,208.0,216.0,-12641157.81,2790.97,-5964.26,-1240.11,2797.07,1028.71
46,230.5,171.0,137.5,203.5,212.5,-12546965.96,2495.27,-5713.14,-2325.59,1552.52,2720.32
47,231.0,171.5,138.5,206.5,211.0,-12561943.81,2495.27,-5658.91,-2294.67,1638.56,2681.1
48,239.0,171.5,135.5,200.0,200.5,-12628703.55,2763.62,-5823.16,-1433.96,2638.9,1361.67
49,228.5,171.0,137.5,212.0,215.5,-12534376.37,2495.27,-5713.14,-2422.83,1408.4,2885.49
50,240.0,171.5,137.0,208.0,215.5,-12650911.25,2813.38,-5964.26,-1143.37,2937.9,871.98
51,229.5,172.0,136.0,201.5,201.5,-12569155.74,2495.27,-5603.82,-2382.08,1590.17,2807.04
52,220.0,171.0,136.0,215.0,223.0,-12512313.1,2495.27,-5713.14,-2540.56,1227.38,3096.0
53,233.0,172.0,135.5,203.0,210.0,-12584165.62,2495.27,-5603.82,-2271.57,1766.65,2609.1
54,237.5,171.5,133.5,202.0,208.5,-12604543.58,2677.85,-5658.91,-1826.34,2254.46,1975.21
55,236.0,171.5,136.0,207.5,213.5,-12590387.57,2614.64,-5658.91,-2004.3,2027.93,2224.79
56,229.0,172.0,134.0,200.0,204.0,-12566217.26,2495.27,-5603.82,-2397.38,1561.82,2846.26
57,230.0,172.0,135.0,208.5,241.0,-12572725.08,2495.27,-5603.82,-2352.8,1634.37,2759.55
58,238.5,171.5,137.0,204.5,205.5,-12625408.04,2735.7,-5675.64,-1596.21,2554.5,1619.87
59,237.5,172.0,133.5,204.5,208.5,-12618229.6,2677.85,-5603.82,-1826.34,2309.55,1975.21
60,237.5,171.0,137.0,221.5,226.5,-12591649.09,2677.85,-5713.14,-1828.78,2197.92,1975.21
61,220.0,172.0,136.0,215.0,223.0,-12546365.99,2495.27,-5603.82,-2540.56,1336.69,3096.0
62,228.0,172.0,137.0,203.5,205.5,-12560197.33,2495.27,-5603.82,-2449.42,1484.74,2924.71
63,230.0,172.0,138.5,208.5,241.0,-12570575.74,2495.27,-5603.82,-2343.13,1625.27,2759.55
64,241.5,172.0,136.0,210.0,224.0,-12686754.12,2901.06,-5909.17,-894.0499999999998,3339.98,486.99
65,232.5,171.5,134.5,201.5,212.5,-12568321.58,2495.27,-5658.91,-2286.21,1688.42,2637.9
66,230.5,172.0,137.5,202.5,208.0,-12574265.07,2495.27,-5603.82,-2325.59,1661.84,2720.32
67,229.0,171.5,134.0,200.0,204.0,-12551981.9,2495.27,-5658.91,-2397.38,1506.72,2846.26
68,238.5,172.0,136.0,200.5,201.5,-12638924.6,2735.7,-5620.55,-1596.2,2609.59,1619.87
69,237.5,171.0,140.0,207.5,209.0,-12593640.62,2677.85,-5713.14,-1816.39,2195.47,1975.21
70,233.0,171.5,135.5,203.0,210.0,-12570309.35,2495.27,-5658.91,-2271.57,1711.55,2609.1
71,220.0,171.5,136.0,215.0,223.0,-12529002.45,2495.27,-5658.91,-2540.56,1281.6,3096.0
72,235.0,172.0,139.5,207.0,207.5,-12598542.46,2593.78,-5603.82,-2074.01,1987.67,2329.77
73,227.0,171.5,133.0,218.0,223.5,-12538586.79,2495.27,-5658.91,-2488.56,1358.68,3017.55
74,226.5,171.5,134.0,200.0,234.5,-12534492.98,2495.27,-5658.91,-2512.66,1321.95,3056.78
75,238.5,171.0,139.5,201.0,224.0,-12612963.83,2735.7,-5729.87,-1588.63,2499.73,1619.87
76,228.0,171.0,137.0,204.5,207.5,-12531775.69,2495.27,-5713.14,-2449.42,1375.42,2924.71
